Brandstof omschrijving,maand_jaar,Kenteken,Datum_tenaamstelling
Alcohol,2008-01,5,5
Alcohol,2008-03,1,1
Alcohol,2008-06,2,2
Alcohol,2008-07,4,4
Alcohol,2008-08,1,1
Alcohol,2009-01,1,1
Alcohol,2009-02,2,2
Alcohol,2009-04,5,5
Alcohol,2009-05,4,4
Alcohol,2009-06,9,9
Alcohol,2009-07,9,9
Alcohol,2009-08,13,13
Alcohol,2009-09,9,9
Alcohol,2009-10,3,3
Alcohol,2009-11,2,2
Alcohol,2010-01,3,3
Alcohol,2010-02,4,4
Alcohol,2010-03,2,2
Alcohol,2010-04,3,3
Alcohol,2010-05,7,7
Alcohol,2010-06,3,3
Alcohol,2010-07,4,4
Alcohol,2010-08,3,3
Alcohol,2010-09,5,5
Alcohol,2010-10,3,3
Alcohol,2010-11,1,1
Alcohol,2010-12,1,1
Alcohol,2011-01,3,3
Alcohol,2011-02,3,3
Alcohol,2011-03,6,6
Alcohol,2011-04,6,6
Alcohol,2011-05,11,11
Alcohol,2011-06,19,19
Alcohol,2011-07,10,10
Alcohol,2011-08,8,8
Alcohol,2011-09,12,12
Alcohol,2011-10,8,8
Alcohol,2011-11,20,20
Alcohol,2011-12,9,9
Alcohol,2012-01,16,16
Alcohol,2012-02,9,9
Alcohol,2012-03,5,5
Alcohol,2012-04,10,10
Alcohol,2012-05,17,17
Alcohol,2012-06,9,9
Alcohol,2012-07,10,10
Alcohol,2012-08,11,11
Alcohol,2012-09,9,9
Alcohol,2012-10,7,7
Alcohol,2012-11,10,10
Alcohol,2012-12,5,5
Alcohol,2013-01,11,11
Alcohol,2013-02,10,10
Alcohol,2013-03,13,13
Alcohol,2013-04,12,12
Alcohol,2013-05,14,14
Alcohol,2013-06,14,14
Alcohol,2013-07,10,10
Alcohol,2013-08,11,11
Alcohol,2013-09,16,16
Alcohol,2013-10,9,9
Alcohol,2013-11,16,16
Alcohol,2013-12,18,18
Alcohol,2014-01,13,13
Alcohol,2014-02,8,8
Alcohol,2014-03,10,10
Alcohol,2014-04,8,8
Alcohol,2014-05,10,10
Alcohol,2014-06,16,16
Alcohol,2014-07,7,7
Alcohol,2014-08,5,5
Alcohol,2014-09,10,10
Alcohol,2014-10,9,9
Alcohol,2014-11,15,15
Alcohol,2014-12,10,10
Alcohol,2015-01,13,13
Alcohol,2015-02,9,9
Alcohol,2015-03,13,13
Alcohol,2015-04,12,12
Alcohol,2015-05,5,5
Alcohol,2015-06,9,9
Alcohol,2015-07,17,17
Alcohol,2015-08,11,11
Alcohol,2015-09,16,16
Alcohol,2015-10,17,17
Alcohol,2015-11,11,11
Alcohol,2015-12,12,12
Alcohol,2016-01,14,14
Alcohol,2016-02,16,16
Alcohol,2016-03,16,16
Alcohol,2016-04,14,14
Alcohol,2016-05,15,15
Alcohol,2016-06,13,13
Alcohol,2016-07,15,15
Alcohol,2016-08,14,14
Alcohol,2016-09,15,15
Alcohol,2016-10,21,21
Alcohol,2016-11,24,24
Alcohol,2016-12,20,20
Alcohol,2017-01,22,22
Alcohol,2017-02,29,29
Alcohol,2017-03,21,21
Alcohol,2017-04,20,20
Alcohol,2017-05,23,23
Alcohol,2017-06,32,32
Alcohol,2017-07,28,28
Alcohol,2017-08,25,25
Alcohol,2017-09,20,20
Alcohol,2017-10,18,18
Alcohol,2017-11,18,18
Alcohol,2017-12,21,21
Alcohol,2018-01,33,33
Alcohol,2018-02,27,27
Alcohol,2018-03,31,31
Alcohol,2018-04,23,23
Alcohol,2018-05,14,14
Alcohol,2018-06,43,43
Alcohol,2018-07,30,30
Alcohol,2018-08,32,32
Alcohol,2018-09,23,23
Alcohol,2018-10,26,26
Alcohol,2018-11,33,33
Alcohol,2018-12,31,31
Alcohol,2019-01,41,41
Alcohol,2019-02,34,34
Alcohol,2019-03,33,33
Alcohol,2019-04,33,33
Alcohol,2019-05,33,33
Alcohol,2019-06,26,26
Alcohol,2019-07,46,46
Alcohol,2019-08,40,40
Alcohol,2019-09,34,34
Alcohol,2019-10,38,38
Alcohol,2019-11,36,36
Alcohol,2019-12,34,34
Alcohol,2020-01,32,32
Alcohol,2020-02,40,40
Alcohol,2020-03,37,37
Alcohol,2020-04,22,22
Alcohol,2020-05,30,30
Alcohol,2020-06,63,63
Alcohol,2020-07,57,57
Alcohol,2020-08,44,44
Alcohol,2020-09,40,40
Alcohol,2020-10,48,48
Alcohol,2020-11,48,48
Alcohol,2020-12,41,41
Alcohol,2021-01,37,37
Alcohol,2021-02,35,35
Alcohol,2021-03,45,45
Alcohol,2021-04,50,50
Alcohol,2021-05,65,65
Alcohol,2021-06,41,41
Alcohol,2021-07,48,48
Alcohol,2021-08,52,52
Alcohol,2021-09,28,28
Alcohol,2021-10,56,56
Alcohol,2021-11,66,66
Alcohol,2021-12,50,50
Alcohol,2022-01,66,66
Alcohol,2022-02,60,60
Alcohol,2022-03,38,38
Alcohol,2022-04,42,42
Alcohol,2022-05,51,51
Alcohol,2022-06,41,41
Alcohol,2022-07,48,48
Alcohol,2022-08,34,34
Alcohol,2022-09,40,40
Alcohol,2022-10,44,44
Alcohol,2022-11,55,55
Alcohol,2022-12,41,41
Alcohol,2023-01,53,53
Alcohol,2023-02,43,43
Alcohol,2023-03,53,53
Alcohol,2023-04,58,58
Alcohol,2023-05,56,56
Alcohol,2023-06,55,55
Alcohol,2023-07,83,83
Alcohol,2023-08,77,77
Alcohol,2023-09,103,103
Alcohol,2023-10,43,43
Benzine,1952-10,1,1
Benzine,1953-01,1,1
Benzine,1953-07,1,1
Benzine,1954-01,1,1
Benzine,1954-04,1,1
Benzine,1954-07,1,1
Benzine,1955-06,1,1
Benzine,1955-08,1,1
Benzine,1955-09,1,1
Benzine,1956-05,1,1
Benzine,1956-06,1,1
Benzine,1956-09,1,1
Benzine,1956-12,1,1
Benzine,1957-08,1,1
Benzine,1957-09,1,1
Benzine,1958-03,1,1
Benzine,1958-06,1,1
Benzine,1959-02,1,1
Benzine,1959-05,1,1
Benzine,1959-07,1,1
Benzine,1959-08,1,1
Benzine,1959-12,2,2
Benzine,1960-05,2,2
Benzine,1960-06,1,1
Benzine,1960-08,1,1
Benzine,1960-09,1,1
Benzine,1960-10,2,2
Benzine,1960-11,1,1
Benzine,1961-03,2,2
Benzine,1961-04,1,1
Benzine,1961-05,2,2
Benzine,1961-06,3,3
Benzine,1961-07,2,2
Benzine,1961-09,1,1
Benzine,1961-10,2,2
Benzine,1961-11,1,1
Benzine,1961-12,2,2
Benzine,1962-07,3,3
Benzine,1962-09,2,2
Benzine,1962-10,1,1
Benzine,1963-02,1,1
Benzine,1963-03,1,1
Benzine,1963-04,2,2
Benzine,1963-05,3,3
Benzine,1963-06,1,1
Benzine,1963-07,1,1
Benzine,1963-09,1,1
Benzine,1963-10,1,1
Benzine,1963-11,1,1
Benzine,1964-02,2,2
Benzine,1964-03,2,2
Benzine,1964-04,2,2
Benzine,1964-05,1,1
Benzine,1964-06,1,1
Benzine,1964-08,2,2
Benzine,1964-09,1,1
Benzine,1964-10,1,1
Benzine,1964-11,2,2
Benzine,1965-01,1,1
Benzine,1965-02,1,1
Benzine,1965-03,3,3
Benzine,1965-04,1,1
Benzine,1965-05,4,4
Benzine,1965-06,3,3
Benzine,1965-07,1,1
Benzine,1965-08,1,1
Benzine,1965-09,2,2
Benzine,1965-10,2,2
Benzine,1965-11,1,1
Benzine,1965-12,1,1
Benzine,1966-01,2,2
Benzine,1966-02,3,3
Benzine,1966-03,4,4
Benzine,1966-04,2,2
Benzine,1966-05,5,5
Benzine,1966-06,4,4
Benzine,1966-07,3,3
Benzine,1966-08,5,5
Benzine,1966-09,6,6
Benzine,1966-10,3,3
Benzine,1966-11,2,2
Benzine,1967-01,1,1
Benzine,1967-02,1,1
Benzine,1967-03,3,3
Benzine,1967-04,3,3
Benzine,1967-05,4,4
Benzine,1967-06,2,2
Benzine,1967-07,6,6
Benzine,1967-08,4,4
Benzine,1967-09,2,2
Benzine,1967-10,2,2
Benzine,1967-11,7,7
Benzine,1967-12,3,3
Benzine,1968-01,3,3
Benzine,1968-02,6,6
Benzine,1968-03,4,4
Benzine,1968-04,5,5
Benzine,1968-05,4,4
Benzine,1968-07,3,3
Benzine,1968-08,7,7
Benzine,1968-09,3,3
Benzine,1968-10,4,4
Benzine,1968-11,1,1
Benzine,1968-12,5,5
Benzine,1969-01,4,4
Benzine,1969-02,1,1
Benzine,1969-03,5,5
Benzine,1969-04,7,7
Benzine,1969-05,13,13
Benzine,1969-06,8,8
Benzine,1969-07,10,10
Benzine,1969-08,5,5
Benzine,1969-09,5,5
Benzine,1969-10,3,3
Benzine,1969-11,9,9
Benzine,1969-12,4,4
Benzine,1970-01,4,4
Benzine,1970-02,4,4
Benzine,1970-03,7,7
Benzine,1970-04,11,11
Benzine,1970-05,11,11
Benzine,1970-06,11,11
Benzine,1970-07,3,3
Benzine,1970-08,10,10
Benzine,1970-09,12,12
Benzine,1970-10,8,8
Benzine,1970-11,4,4
Benzine,1970-12,8,8
Benzine,1971-01,3,3
Benzine,1971-02,9,9
Benzine,1971-03,18,18
Benzine,1971-04,10,10
Benzine,1971-05,15,15
Benzine,1971-06,25,25
Benzine,1971-07,8,8
Benzine,1971-08,19,19
Benzine,1971-09,14,14
Benzine,1971-10,17,17
Benzine,1971-11,8,8
Benzine,1971-12,6,6
Benzine,1972-01,15,15
Benzine,1972-02,12,12
Benzine,1972-03,18,18
Benzine,1972-04,18,18
Benzine,1972-05,18,18
Benzine,1972-06,24,24
Benzine,1972-07,16,16
Benzine,1972-08,24,24
Benzine,1972-09,17,17
Benzine,1972-10,16,16
Benzine,1972-11,9,9
Benzine,1972-12,14,14
Benzine,1973-01,9,9
Benzine,1973-02,12,12
Benzine,1973-03,26,26
Benzine,1973-04,24,24
Benzine,1973-05,32,32
Benzine,1973-06,21,21
Benzine,1973-07,23,23
Benzine,1973-08,26,26
Benzine,1973-09,18,18
Benzine,1973-10,20,20
Benzine,1973-11,16,16
Benzine,1973-12,18,18
Benzine,1974-01,7,7
Benzine,1974-02,10,10
Benzine,1974-03,19,19
Benzine,1974-04,32,32
Benzine,1974-05,43,43
Benzine,1974-06,31,31
Benzine,1974-07,29,29
Benzine,1974-08,33,33
Benzine,1974-09,24,24
Benzine,1974-10,36,36
Benzine,1974-11,30,30
Benzine,1974-12,48,48
Benzine,1975-01,78,78
Benzine,1975-02,38,38
Benzine,1975-03,36,36
Benzine,1975-04,84,84
Benzine,1975-05,35,35
Benzine,1975-06,51,51
Benzine,1975-07,40,40
Benzine,1975-08,31,31
Benzine,1975-09,36,36
Benzine,1975-10,31,31
Benzine,1975-11,27,27
Benzine,1975-12,34,34
Benzine,1976-01,185,185
Benzine,1976-02,40,40
Benzine,1976-03,54,54
Benzine,1976-04,36,36
Benzine,1976-05,46,46
Benzine,1976-06,69,69
Benzine,1976-07,70,70
Benzine,1976-08,50,50
Benzine,1976-09,54,54
Benzine,1976-10,52,52
Benzine,1976-11,46,46
Benzine,1976-12,35,35
Benzine,1977-01,56,56
Benzine,1977-02,47,47
Benzine,1977-03,77,77
Benzine,1977-04,54,54
Benzine,1977-05,81,81
Benzine,1977-06,89,89
Benzine,1977-07,74,74
Benzine,1977-08,70,70
Benzine,1977-09,51,51
Benzine,1977-10,68,68
Benzine,1977-11,57,57
Benzine,1977-12,61,61
Benzine,1978-01,82,82
Benzine,1978-02,42,42
Benzine,1978-03,79,79
Benzine,1978-04,83,83
Benzine,1978-05,80,80
Benzine,1978-06,105,105
Benzine,1978-07,74,74
Benzine,1978-08,100,100
Benzine,1978-09,72,72
Benzine,1978-10,77,77
Benzine,1978-11,65,65
Benzine,1978-12,40,40
Benzine,1979-01,82,82
Benzine,1979-02,38,38
Benzine,1979-03,126,126
Benzine,1979-04,100,100
Benzine,1979-05,109,109
Benzine,1979-06,98,98
Benzine,1979-07,85,85
Benzine,1979-08,95,95
Benzine,1979-09,53,53
Benzine,1979-10,74,74
Benzine,1979-11,63,63
Benzine,1979-12,56,56
Benzine,1980-01,95,95
Benzine,1980-02,80,80
Benzine,1980-03,107,107
Benzine,1980-04,112,112
Benzine,1980-05,112,112
Benzine,1980-06,125,125
Benzine,1980-07,83,83
Benzine,1980-08,94,94
Benzine,1980-09,81,81
Benzine,1980-10,87,87
Benzine,1980-11,60,60
Benzine,1980-12,60,60
Benzine,1981-01,87,87
Benzine,1981-02,81,81
Benzine,1981-03,95,95
Benzine,1981-04,121,121
Benzine,1981-05,136,136
Benzine,1981-06,112,112
Benzine,1981-07,119,119
Benzine,1981-08,80,80
Benzine,1981-09,92,92
Benzine,1981-10,80,80
Benzine,1981-11,73,73
Benzine,1981-12,58,58
Benzine,1982-01,103,103
Benzine,1982-02,90,90
Benzine,1982-03,143,143
Benzine,1982-04,153,153
Benzine,1982-05,152,152
Benzine,1982-06,136,136
Benzine,1982-07,147,147
Benzine,1982-08,120,120
Benzine,1982-09,101,101
Benzine,1982-10,87,87
Benzine,1982-11,87,87
Benzine,1982-12,87,87
Benzine,1983-01,106,106
Benzine,1983-02,79,79
Benzine,1983-03,143,143
Benzine,1983-04,167,167
Benzine,1983-05,157,157
Benzine,1983-06,176,176
Benzine,1983-07,145,145
Benzine,1983-08,131,131
Benzine,1983-09,127,127
Benzine,1983-10,137,137
Benzine,1983-11,91,91
Benzine,1983-12,101,101
Benzine,1984-01,125,125
Benzine,1984-02,99,99
Benzine,1984-03,133,133
Benzine,1984-04,158,158
Benzine,1984-05,202,202
Benzine,1984-06,189,189
Benzine,1984-07,175,175
Benzine,1984-08,167,167
Benzine,1984-09,122,122
Benzine,1984-10,118,118
Benzine,1984-11,129,129
Benzine,1984-12,113,113
Benzine,1985-01,111,111
Benzine,1985-02,100,100
Benzine,1985-03,165,165
Benzine,1985-04,213,213
Benzine,1985-05,213,213
Benzine,1985-06,197,197
Benzine,1985-07,173,173
Benzine,1985-08,182,182
Benzine,1985-09,153,153
Benzine,1985-10,152,152
Benzine,1985-11,117,117
Benzine,1985-12,98,98
Benzine,1986-01,175,175
Benzine,1986-02,118,118
Benzine,1986-03,170,170
Benzine,1986-04,212,212
Benzine,1986-05,218,218
Benzine,1986-06,245,245
Benzine,1986-07,230,230
Benzine,1986-08,192,192
Benzine,1986-09,173,173
Benzine,1986-10,171,171
Benzine,1986-11,157,157
Benzine,1986-12,130,130
Benzine,1987-01,134,134
Benzine,1987-02,139,139
Benzine,1987-03,209,209
Benzine,1987-04,262,262
Benzine,1987-05,290,290
Benzine,1987-06,262,262
Benzine,1987-07,288,288
Benzine,1987-08,221,221
Benzine,1987-09,195,195
Benzine,1987-10,235,235
Benzine,1987-11,164,164
Benzine,1987-12,168,168
Benzine,1988-01,176,176
Benzine,1988-02,212,212
Benzine,1988-03,238,238
Benzine,1988-04,292,292
Benzine,1988-05,275,275
Benzine,1988-06,328,328
Benzine,1988-07,309,309
Benzine,1988-08,266,266
Benzine,1988-09,243,243
Benzine,1988-10,205,205
Benzine,1988-11,209,209
Benzine,1988-12,176,176
Benzine,1989-01,249,249
Benzine,1989-02,220,220
Benzine,1989-03,343,343
Benzine,1989-04,300,300
Benzine,1989-05,373,373
Benzine,1989-06,378,378
Benzine,1989-07,346,346
Benzine,1989-08,321,321
Benzine,1989-09,237,237
Benzine,1989-10,257,257
Benzine,1989-11,237,237
Benzine,1989-12,222,222
Benzine,1990-01,294,294
Benzine,1990-02,287,287
Benzine,1990-03,425,425
Benzine,1990-04,457,457
Benzine,1990-05,486,486
Benzine,1990-06,441,441
Benzine,1990-07,430,430
Benzine,1990-08,403,403
Benzine,1990-09,331,331
Benzine,1990-10,353,353
Benzine,1990-11,304,304
Benzine,1990-12,248,248
Benzine,1991-01,342,342
Benzine,1991-02,288,288
Benzine,1991-03,516,516
Benzine,1991-04,620,620
Benzine,1991-05,586,586
Benzine,1991-06,559,559
Benzine,1991-07,534,534
Benzine,1991-08,479,479
Benzine,1991-09,392,392
Benzine,1991-10,426,426
Benzine,1991-11,327,327
Benzine,1991-12,322,322
Benzine,1992-01,456,456
Benzine,1992-02,420,420
Benzine,1992-03,643,643
Benzine,1992-04,607,607
Benzine,1992-05,732,732
Benzine,1992-06,667,667
Benzine,1992-07,669,669
Benzine,1992-08,514,514
Benzine,1992-09,441,441
Benzine,1992-10,409,409
Benzine,1992-11,361,361
Benzine,1992-12,413,413
Benzine,1993-01,413,413
Benzine,1993-02,424,424
Benzine,1993-03,724,724
Benzine,1993-04,829,829
Benzine,1993-05,783,783
Benzine,1993-06,828,828
Benzine,1993-07,810,810
Benzine,1993-08,575,575
Benzine,1993-09,572,572
Benzine,1993-10,534,534
Benzine,1993-11,475,475
Benzine,1993-12,405,405
Benzine,1994-01,542,542
Benzine,1994-02,498,498
Benzine,1994-03,890,890
Benzine,1994-04,898,898
Benzine,1994-05,874,874
Benzine,1994-06,896,896
Benzine,1994-07,844,844
Benzine,1994-08,704,704
Benzine,1994-09,646,646
Benzine,1994-10,584,584
Benzine,1994-11,615,615
Benzine,1994-12,728,728
Benzine,1995-01,849,849
Benzine,1995-02,809,809
Benzine,1995-03,1777,1777
Benzine,1995-04,1305,1305
Benzine,1995-05,1635,1635
Benzine,1995-06,1333,1333
Benzine,1995-07,1225,1225
Benzine,1995-08,1114,1114
Benzine,1995-09,927,927
Benzine,1995-10,883,883
Benzine,1995-11,830,830
Benzine,1995-12,708,708
Benzine,1996-01,864,864
Benzine,1996-02,808,808
Benzine,1996-03,1275,1275
Benzine,1996-04,1460,1460
Benzine,1996-05,1315,1315
Benzine,1996-06,1403,1403
Benzine,1996-07,1280,1280
Benzine,1996-08,1146,1146
Benzine,1996-09,939,939
Benzine,1996-10,919,919
Benzine,1996-11,744,744
Benzine,1996-12,651,651
Benzine,1997-01,792,792
Benzine,1997-02,847,847
Benzine,1997-03,1369,1369
Benzine,1997-04,1364,1364
Benzine,1997-05,1366,1366
Benzine,1997-06,1333,1333
Benzine,1997-07,1232,1232
Benzine,1997-08,1181,1181
Benzine,1997-09,1053,1053
Benzine,1997-10,924,924
Benzine,1997-11,771,771
Benzine,1997-12,790,790
Benzine,1998-01,1010,1010
Benzine,1998-02,995,995
Benzine,1998-03,1349,1349
Benzine,1998-04,1345,1345
Benzine,1998-05,1455,1455
Benzine,1998-06,1390,1390
Benzine,1998-07,1388,1388
Benzine,1998-08,1105,1105
Benzine,1998-09,1031,1031
Benzine,1998-10,999,999
Benzine,1998-11,772,772
Benzine,1998-12,763,763
Benzine,1999-01,1083,1083
Benzine,1999-02,1010,1010
Benzine,1999-03,1541,1541
Benzine,1999-04,1698,1698
Benzine,1999-05,1735,1735
Benzine,1999-06,1737,1737
Benzine,1999-07,1808,1808
Benzine,1999-08,1460,1460
Benzine,1999-09,1340,1340
Benzine,1999-10,1209,1209
Benzine,1999-11,1093,1093
Benzine,1999-12,874,874
Benzine,2000-01,1365,1365
Benzine,2000-02,1321,1321
Benzine,2000-03,1817,1817
Benzine,2000-04,1764,1764
Benzine,2000-05,2063,2063
Benzine,2000-06,1736,1736
Benzine,2000-07,1642,1642
Benzine,2000-08,1625,1625
Benzine,2000-09,1479,1479
Benzine,2000-10,1371,1371
Benzine,2000-11,1330,1330
Benzine,2000-12,1093,1093
Benzine,2001-01,1511,1511
Benzine,2001-02,1314,1314
Benzine,2001-03,1872,1872
Benzine,2001-04,1780,1780
Benzine,2001-05,2400,2400
Benzine,2001-06,2252,2252
Benzine,2001-07,1963,1963
Benzine,2001-08,1869,1869
Benzine,2001-09,1545,1545
Benzine,2001-10,1701,1701
Benzine,2001-11,1562,1562
Benzine,2001-12,1227,1227
Benzine,2002-01,1702,1702
Benzine,2002-02,1640,1640
Benzine,2002-03,2223,2223
Benzine,2002-04,2282,2282
Benzine,2002-05,2290,2290
Benzine,2002-06,2391,2391
Benzine,2002-07,2366,2366
Benzine,2002-08,2156,2156
Benzine,2002-09,2040,2040
Benzine,2002-10,2024,2024
Benzine,2002-11,1859,1859
Benzine,2002-12,1499,1499
Benzine,2003-01,2064,2064
Benzine,2003-02,1876,1876
Benzine,2003-03,2606,2606
Benzine,2003-04,2608,2608
Benzine,2003-05,2814,2814
Benzine,2003-06,2721,2721
Benzine,2003-07,2747,2747
Benzine,2003-08,2413,2413
Benzine,2003-09,2395,2395
Benzine,2003-10,2308,2308
Benzine,2003-11,2013,2013
Benzine,2003-12,1559,1559
Benzine,2004-01,2644,2644
Benzine,2004-02,2272,2272
Benzine,2004-03,3223,3223
Benzine,2004-04,3365,3365
Benzine,2004-05,3066,3066
Benzine,2004-06,3237,3237
Benzine,2004-07,3067,3067
Benzine,2004-08,2683,2683
Benzine,2004-09,2686,2686
Benzine,2004-10,2755,2755
Benzine,2004-11,2455,2455
Benzine,2004-12,2040,2040
Benzine,2005-01,3076,3076
Benzine,2005-02,2499,2499
Benzine,2005-03,3320,3320
Benzine,2005-04,3883,3883
Benzine,2005-05,3335,3335
Benzine,2005-06,3754,3754
Benzine,2005-07,3551,3551
Benzine,2005-08,3150,3150
Benzine,2005-09,4420,4420
Benzine,2005-10,5661,5661
Benzine,2005-11,5219,5219
Benzine,2005-12,3876,3876
Benzine,2006-01,5399,5399
Benzine,2006-02,4869,4869
Benzine,2006-03,7057,7057
Benzine,2006-04,9500,9500
Benzine,2006-05,8329,8329
Benzine,2006-06,7948,7948
Benzine,2006-07,8086,8086
Benzine,2006-08,9800,9800
Benzine,2006-09,12604,12604
Benzine,2006-10,18730,18730
Benzine,2006-11,11630,11630
Benzine,2006-12,5053,5053
Benzine,2007-01,6548,6548
Benzine,2007-02,5319,5319
Benzine,2007-03,7195,7195
Benzine,2007-04,6436,6436
Benzine,2007-05,6795,6795
Benzine,2007-06,7277,7277
Benzine,2007-07,6382,6382
Benzine,2007-08,6630,6630
Benzine,2007-09,6075,6075
Benzine,2007-10,6370,6370
Benzine,2007-11,5701,5701
Benzine,2007-12,4198,4198
Benzine,2008-01,6963,6963
Benzine,2008-02,7000,7000
Benzine,2008-03,7451,7451
Benzine,2008-04,7972,7972
Benzine,2008-05,8734,8734
Benzine,2008-06,8512,8512
Benzine,2008-07,8375,8375
Benzine,2008-08,7878,7878
Benzine,2008-09,7602,7602
Benzine,2008-10,7815,7815
Benzine,2008-11,6280,6280
Benzine,2008-12,5187,5187
Benzine,2009-01,7871,7871
Benzine,2009-02,6648,6648
Benzine,2009-03,8454,8454
Benzine,2009-04,8938,8938
Benzine,2009-05,9380,9380
Benzine,2009-06,11059,11059
Benzine,2009-07,10892,10892
Benzine,2009-08,9611,9611
Benzine,2009-09,9774,9774
Benzine,2009-10,10045,10045
Benzine,2009-11,8687,8687
Benzine,2009-12,6803,6803
Benzine,2010-01,10602,10602
Benzine,2010-02,9181,9181
Benzine,2010-03,12777,12777
Benzine,2010-04,13154,13154
Benzine,2010-05,11805,11805
Benzine,2010-06,14071,14071
Benzine,2010-07,13218,13218
Benzine,2010-08,12025,12025
Benzine,2010-09,12273,12273
Benzine,2010-10,12022,12022
Benzine,2010-11,10679,10679
Benzine,2010-12,7737,7737
Benzine,2011-01,13482,13482
Benzine,2011-02,12746,12746
Benzine,2011-03,15269,15269
Benzine,2011-04,15879,15879
Benzine,2011-05,15921,15921
Benzine,2011-06,15721,15721
Benzine,2011-07,15173,15173
Benzine,2011-08,14286,14286
Benzine,2011-09,14286,14286
Benzine,2011-10,14336,14336
Benzine,2011-11,13903,13903
Benzine,2011-12,11676,11676
Benzine,2012-01,15983,15983
Benzine,2012-02,12790,12790
Benzine,2012-03,18338,18338
Benzine,2012-04,16307,16307
Benzine,2012-05,17181,17181
Benzine,2012-06,19704,19704
Benzine,2012-07,16457,16457
Benzine,2012-08,16722,16722
Benzine,2012-09,16541,16541
Benzine,2012-10,14373,14373
Benzine,2012-11,14186,14186
Benzine,2012-12,11273,11273
Benzine,2013-01,16510,16510
Benzine,2013-02,13999,13999
Benzine,2013-03,17506,17506
Benzine,2013-04,17965,17965
Benzine,2013-05,19034,19034
Benzine,2013-06,19171,19171
Benzine,2013-07,18860,18860
Benzine,2013-08,18934,18934
Benzine,2013-09,16738,16738
Benzine,2013-10,17853,17853
Benzine,2013-11,18346,18346
Benzine,2013-12,17265,17265
Benzine,2014-01,21281,21281
Benzine,2014-02,17370,17370
Benzine,2014-03,20765,20765
Benzine,2014-04,21382,21382
Benzine,2014-05,23102,23102
Benzine,2014-06,21657,21657
Benzine,2014-07,22424,22424
Benzine,2014-08,21796,21796
Benzine,2014-09,21126,21126
Benzine,2014-10,22991,22991
Benzine,2014-11,21014,21014
Benzine,2014-12,20103,20103
Benzine,2015-01,26387,26387
Benzine,2015-02,21234,21234
Benzine,2015-03,26037,26037
Benzine,2015-04,26530,26530
Benzine,2015-05,26770,26770
Benzine,2015-06,29122,29122
Benzine,2015-07,29082,29082
Benzine,2015-08,26509,26509
Benzine,2015-09,26816,26816
Benzine,2015-10,28240,28240
Benzine,2015-11,25195,25195
Benzine,2015-12,27073,27073
Benzine,2016-01,30583,30583
Benzine,2016-02,28140,28140
Benzine,2016-03,32711,32711
Benzine,2016-04,35064,35064
Benzine,2016-05,33674,33674
Benzine,2016-06,38088,38088
Benzine,2016-07,36830,36830
Benzine,2016-08,34067,34067
Benzine,2016-09,35692,35692
Benzine,2016-10,35100,35100
Benzine,2016-11,33227,33227
Benzine,2016-12,33385,33385
Benzine,2017-01,39221,39221
Benzine,2017-02,34790,34790
Benzine,2017-03,44932,44932
Benzine,2017-04,41366,41366
